,Rank,Team,Rating,v 1-5,v 6-10,v 11-16,Hi,Low,Last,Year
304,17,New Orleans (7-9),26.3,0-2,1-3,0-3,2,32,16,2013
305,18,Dallas (8-8),25.3,0-2,1-3,2-2,1,23,18,2013
306,19,Pittsburgh (8-8),24.2,1-2,2-1,1-0,8,24,20,2013
307,20,Tampa Bay (7-9),23.7,0-1,2-2,2-2,11,32,19,2013
308,21,LA Chargers (7-9),22.7,0-3,0-2,0-1,10,28,21,2013
309,22,Miami (7-9),21.7,1-3,1-0,1-2,9,25,22,2013
310,23,Cleveland (5-11),19.7,0-3,1-2,0-2,19,32,23,2013
311,24,Buffalo (6-10),18.0,0-4,0-0,0-3,12,28,24,2013
312,25,Tennessee (6-10),17.2,0-1,0-2,0-5,17,28,25,2013
313,26,Arizona (5-11),16.0,2-3,0-3,0-3,1,29,26,2013
314,27,NY Jets (6-10),15.3,0-4,0-0,2-1,9,27,27,2013
315,28,Philadelphia (4-12),14.8,1-0,0-4,1-2,4,32,29,2013
316,29,Detroit (4-12),14.6,1-1,0-5,1-4,9,29,28,2013
317,30,Las Vegas (4-12),13.2,0-3,0-2,0-1,21,32,30,2013
318,31,Kansas City (2-14),9.7,0-3,0-2,1-1,17,32,31,2013
319,32,Jacksonville (2-14),6.4,0-1,0-3,1-4,14,32,32,2013
320,1,New England (15-3),40.9,0-1,4-1,4-0,1,14,1,2012
321,2,NY Giants (12-7),37.3,3-3,2-1,5-1,1,24,4,2012
322,3,New Orleans (14-4),36.8,1-2,2-0,2-0,1,17,3,2012
323,4,San Francisco (14-4),34.2,2-1,3-1,3-2,2,25,2,2012
324,5,Green Bay (15-2),33.8,2-1,2-0,2-0,1,5,5,2012
325,6,Philadelphia (8-8),31.9,1-3,1-0,3-3,6,27,7,2012
326,7,Baltimore (13-5),31.2,1-1,2-0,2-2,2,16,6,2012
327,8,Pittsburgh (12-5),28.9,1-1,0-2,2-0,2,19,8,2012
328,9,Detroit (10-7),27.7,0-5,0-0,2-1,2,14,9,2012
329,10,Miami (6-10),27.2,0-3,0-1,1-3,10,32,12,2012
330,11,Atlanta (10-7),26.9,0-4,2-0,1-0,3,19,13,2012
331,12,LA Chargers (8-8),26.8,0-2,2-1,0-1,9,26,11,2012
332,13,Arizona (8-8),26.7,1-2,1-2,2-1,9,30,10,2012
333,14,NY Jets (8-8),25.7,0-3,1-3,2-0,4,20,15,2012
334,15,Seattle (7-9),25.3,1-2,2-1,1-3,11,30,14,2012
335,16,Dallas (8-8),24.8,1-3,1-3,1-2,6,24,18,2012
336,17,Denver (9-9),24.8,0-3,2-1,2-1,8,32,16,2012
337,18,Kansas City (7-9),24.8,1-1,0-3,1-2,10,29,17,2012
338,19,Tennessee (9-7),23.7,0-1,1-1,0-1,10,29,19,2012
339,20,Houston (11-7),22.9,0-1,2-2,1-0,2,28,20,2012
340,21,Chicago (8-8),22.8,0-3,2-1,2-1,2,24,21,2012
341,22,Las Vegas (8-8),22.4,0-2,0-2,2-1,4,24,22,2012
342,23,Carolina (6-10),21.6,0-3,0-1,0-3,17,32,24,2012
343,24,Cincinnati (9-8),21.5,0-1,0-4,2-0,5,27,23,2012
344,25,Buffalo (6-10),19.7,1-2,1-2,0-4,3,30,25,2012
345,26,Washington (5-11),19.0,2-2,0-3,2-3,9,31,26,2012
346,27,Minnesota (3-13),16.3,0-3,0-2,1-2,13,29,28,2012
347,28,Jacksonville (5-11),16.3,0-1,1-1,0-3,19,30,27,2012
348,29,Indianapolis (2-14),15.0,0-2,0-2,0-1,14,32,29,2012
349,30,Cleveland (4-12),14.3,0-1,1-4,1-1,21,30,30,2012
350,31,LA Rams (2-14),11.8,1-4,0-3,0-5,27,32,31,2012
351,32,Tampa Bay (4-12),7.5,1-3,0-1,1-2,7,32,32,2012
352,1,Green Bay (14-6),43.6,4-2,3-2,5-1,1,21,2,2011
353,2,New England (14-3),41.9,4-2,2-0,6-0,1,12,1,2011
354,3,Pittsburgh (14-5),38.1,1-3,4-1,2-1,1,15,4,2011
355,4,NY Jets (13-6),37.1,3-4,1-1,5-1,2,11,3,2011
356,5,Chicago (12-6),35.1,2-3,2-1,5-0,2,25,5,2011
357,6,Baltimore (13-5),34.6,2-3,1-1,3-0,1,10,6,2011
358,7,Atlanta (13-4),32.8,1-2,3-0,1-2,1,15,7,2011
359,8,Detroit (6-10),31.5,1-5,1-1,2-3,8,32,8,2011
360,9,Tampa Bay (10-6),29.4,0-1,0-4,1-1,8,26,9,2011
361,10,NY Giants (10-6),27.6,1-1,1-0,1-3,5,28,10,2011
362,11,New Orleans (11-6),26.8,1-0,2-3,1-0,1,26,11,2011
363,12,Philadelphia (10-7),26.5,0-3,4-0,1-1,3,25,12,2011
364,13,Minnesota (6-10),25.8,0-6,1-2,2-2,8,29,13,2011
365,14,Indianapolis (10-7),25.0,0-2,1-0,0-1,2,20,14,2011
366,15,Miami (7-9),24.6,2-5,0-2,2-1,4,23,15,2011
367,16,Buffalo (4-12),24.1,0-7,1-1,1-2,14,32,16,2011
368,17,LA Chargers (9-7),23.9,0-1,0-0,1-0,4,25,17,2011
369,18,Dallas (6-10),23.8,0-2,2-1,2-3,6,30,18,2011
370,19,Las Vegas (8-8),22.2,0-1,0-0,0-2,15,30,19,2011
371,20,Cincinnati (4-12),21.6,0-4,1-3,0-4,6,30,20,2011
372,21,Cleveland (5-11),20.6,1-3,0-4,2-1,6,30,21,2011
373,22,Seattle (8-10),20.1,1-1,0-3,1-1,13,30,22,2011
374,23,Kansas City (10-7),19.8,0-0,0-1,1-1,2,28,23,2011
375,24,Washington (6-10),19.6,2-0,0-4,1-3,12,29,24,2011
376,25,San Francisco (6-10),19.1,0-1,0-2,0-2,20,31,25,2011
377,26,Jacksonville (8-8),17.8,0-0,0-1,2-2,11,30,26,2011
378,27,LA Rams (7-9),17.3,0-0,0-3,0-1,19,32,27,2011
379,28,Houston (6-10),16.1,0-1,0-2,1-2,3,29,28,2011
380,29,Tennessee (6-10),14.7,0-1,1-0,1-3,5,29,29,2011
381,30,Arizona (5-11),11.8,0-0,0-2,1-1,14,32,30,2011
382,31,Carolina (2-14),11.6,0-2,0-6,0-2,3,32,31,2011
383,32,Denver (4-12),11.4,0-1,0-1,0-1,11,32,32,2011
384,1,New Orleans (16-3),37.0,3-1,3-1,3-0,1,21,5,2010
385,2,NY Jets (11-8),34.2,3-2,0-1,3-1,1,21,1,2010
386,3,Carolina (8-8),33.7,1-2,2-2,1-2,3,30,4,2010
387,4,LA Chargers (13-4),33.6,0-1,1-1,2-1,1,19,2,2010
388,5,Indianapolis (16-3),32.7,1-2,2-0,6-0,1,13,3,2010
389,6,Dallas (12-6),32.5,2-1,1-2,3-0,2,21,7,2010
390,7,Atlanta (9-7),31.6,2-3,0-1,0-2,3,25,8,2010
391,8,Minnesota (13-5),31.5,0-2,4-0,0-2,2,18,6,2010
392,9,Green Bay (11-6),30.4,0-0,2-2,1-2,3,27,9,2010
393,10,Baltimore (10-8),29.7,1-2,0-2,2-2,2,18,10,2010
394,11,Philadelphia (11-6),29.6,1-2,1-3,0-0,2,25,11,2010
395,12,New England (10-7),28.8,2-3,2-1,1-1,3,13,12,2010
396,13,Houston (9-7),28.4,0-3,0-0,2-2,6,25,13,2010
397,14,Tennessee (8-8),27.7,0-4,0-0,2-3,5,29,14,2010
398,15,Pittsburgh (9-7),27.1,1-0,3-1,1-0,1,27,15,2010
399,16,Arizona (11-7),26.0,0-3,2-1,1-1,4,19,17,2010
400,17,Buffalo (6-10),25.8,3-2,0-1,0-4,16,26,16,2010
401,18,Miami (7-9),24.5,3-3,0-1,1-4,7,26,19,2010
402,19,Cincinnati (10-7),24.5,0-3,3-1,2-1,3,28,18,2010
403,20,San Francisco (8-8),23.4,0-1,0-3,2-3,3,23,20,2010
404,21,NY Giants (8-8),23.4,0-3,3-1,0-3,6,22,21,2010
405,22,Tampa Bay (3-13),23.1,1-4,1-3,0-2,19,32,23,2010
406,23,Cleveland (5-11),22.2,0-1,0-4,1-1,20,32,22,2010
407,24,Chicago (7-9),22.1,0-0,1-5,1-2,8,29,24,2010
408,25,Jacksonville (7-9),20.2,1-2,0-0,3-3,11,28,25,2010
409,26,Denver (8-8),17.5,1-2,1-1,1-2,2,27,27,2010
410,27,Washington (4-12),17.5,0-3,0-3,0-2,18,31,29,2010
411,28,Kansas City (4-12),17.4,0-2,0-2,1-1,21,30,26,2010
412,29,Las Vegas (5-11),17.3,0-3,0-2,2-1,22,31,28,2010
413,30,Seattle (5-11),13.9,0-1,0-3,0-4,16,30,30,2010
414,31,Detroit (2-14),5.8,0-1,0-5,0-2,16,32,31,2010
415,32,LA Rams (1-15),4.2,0-2,0-2,0-4,29,32,32,2010
416,1,Pittsburgh (15-4),42.0,4-2,3-2,2-0,1,22,1,2009
417,2,Baltimore (13-6),38.8,1-4,3-2,2-0,1,29,2,2009
418,3,New England (11-5),35.0,0-2,2-2,1-0,1,24,3,2009
419,4,Indianapolis (12-5),34.9,3-0,2-2,3-0,1,23,4,2009
420,5,Philadelphia (11-7-1),33.8,1-1,3-2,4-1,3,18,5,2009
421,6,Arizona (12-8),31.5,1-3,1-1,5-2,4,23,6,2009
422,7,Tennessee (13-4),31.1,3-2,0-0,2-1,1,12,7,2009
423,8,LA Chargers (9-9),30.8,2-3,0-1,0-2,3,23,8,2009
424,9,NY Giants (12-5),30.2,3-2,1-0,3-2,1,17,9,2009
425,10,Miami (11-6),29.5,1-3,1-1,1-1,5,32,10,2009
426,11,Atlanta (11-6),28.7,0-1,1-1,2-1,5,28,11,2009
427,12,Dallas (9-7),27.8,1-3,1-2,1-0,1,18,12,2009
428,13,Minnesota (10-7),27.5,0-2,2-1,2-1,5,22,13,2009
429,14,Carolina (12-5),27.1,0-0,2-2,1-2,4,19,14,2009
430,15,Houston (8-8),27.1,0-4,2-1,0-1,9,29,15,2009
431,16,San Francisco (7-9),24.1,0-2,0-4,0-1,16,32,16,2009
432,17,Cincinnati (4-11-1),24.0,0-5-1,0-2,0-2,17,31,17,2009
433,18,Washington (8-8),23.7,2-2,1-2,1-2,1,25,18,2009
434,19,New Orleans (8-8),23.1,0-0,1-0,2-4,7,22,19,2009
435,20,Chicago (9-7),23.0,2-0,0-1,1-4,5,21,20,2009
436,21,NY Jets (9-7),22.2,1-1,3-2,0-1,2,29,21,2009
437,22,Las Vegas (5-11),21.9,0-2,0-3,1-2,20,31,22,2009
438,23,Tampa Bay (9-7),20.5,0-0,0-1,3-3,3,23,23,2009
439,24,Seattle (4-12),19.2,0-2,0-4,1-2,14,31,24,2009
440,25,Buffalo (7-9),18.9,0-2,1-3,0-1,3,27,25,2009
441,26,Denver (8-8),18.2,0-1,1-2,1-1,6,26,26,2009
442,27,Green Bay (6-10),17.7,1-0,0-1,1-5,5,27,27,2009
443,28,Jacksonville (5-11),17.1,1-3,0-2,1-2,5,28,28,2009
444,29,Cleveland (4-12),16.6,0-6,1-1,0-2,6,29,29,2009
445,30,Kansas City (2-14),12.2,0-1,0-4,0-2,24,32,30,2009
446,31,LA Rams (2-14),10.3,0-2,0-4,1-3,20,32,31,2009
447,32,Detroit (0-16),1.9,0-1,0-1,0-6,21,32,32,2009
448,1,New England (18-1),42.9,4-1,4-0,3-0,1,3,1,2008
449,2,NY Giants (14-6),40.9,3-4,4-1,1-1,2,30,2,2008
450,3,LA Chargers (13-6),37.8,0-3,3-1,3-1,2,26,3,2008
451,4,Dallas (13-4),33.2,3-2,3-2,2-0,1,25,4,2008
452,5,Green Bay (14-4),33.1,2-2,2-2,3-0,2,10,5,2008
453,6,Philadelphia (8-8),33.0,1-5,1-2,2-1,5,26,6,2008
454,7,Jacksonville (12-6),31.7,1-1,0-2,3-2,3,19,7,2008
455,8,Washington (9-8),31.6,2-4,2-1,1-2,5,28,8,2008
456,9,Indianapolis (13-4),31.2,0-3,2-0,3-1,1,9,9,2008
457,10,Chicago (7-9),28.4,2-3,1-1,0-3,6,23,10,2008
458,11,Minnesota (8-8),28.4,2-3,2-2,0-0,5,28,11,2008
459,12,Tennessee (10-7),28.3,0-2,2-2,2-0,4,21,12,2008
460,13,Houston (8-8),27.5,0-1,1-3,0-3,5,25,13,2008
461,14,Seattle (11-7),26.8,0-1,3-0,0-1,8,25,14,2008
462,15,Cleveland (10-6),25.2,0-1,0-0,3-0,11,31,15,2008
463,16,Buffalo (7-9),23.5,0-4,1-2,0-1,7,29,16,2008
464,17,Denver (7-9),23.3,0-3,0-3,3-1,7,26,17,2008
465,18,New Orleans (7-9),22.5,0-0,1-3,1-2,13,30,18,2008
466,19,Carolina (7-9),22.4,0-2,0-2,1-2,9,30,19,2008
467,20,Tampa Bay (9-8),22.1,0-1,1-2,1-2,5,31,20,2008
468,21,Detroit (7-9),21.4,0-5,2-2,1-1,5,27,21,2008
469,22,Pittsburgh (10-7),21.2,0-1,0-2,4-0,3,22,22,2008
470,23,Arizona (8-8),21.1,0-0,0-1,2-1,11,27,23,2008
471,24,Cincinnati (7-9),20.8,0-1,0-0,2-3,5,28,24,2008
472,25,NY Jets (4-12),17.8,0-4,0-2,0-4,7,30,25,2008
473,26,Las Vegas (4-12),16.5,0-3,0-3,1-3,22,32,26,2008
474,27,San Francisco (5-11),16.2,0-1,0-0,0-4,9,32,27,2008
475,28,Atlanta (4-12),15.2,0-1,0-2,2-2,19,32,28,2008
476,29,Baltimore (5-11),14.2,0-2,0-1,0-4,4,31,29,2008
477,30,Kansas City (4-12),12.1,1-2,0-3,1-2,11,30,30,2008
478,31,LA Rams (3-13),11.7,0-2,0-0,0-3,19,32,31,2008
479,32,Miami (1-15),8.5,0-4,0-2,0-4,11,32,32,2008
480,1,Indianapolis (16-4),39.5,4-1,4-1,5-1,1,9,1,2007
481,2,New England (14-5),38.6,2-2,7-1,2-2,1,18,2,2007
482,3,LA Chargers (14-3),35.9,1-2,1-0,4-1,1,18,3,2007
483,4,Baltimore (13-4),34.8,2-1,1-0,3-1,2,18,4,2007
484,5,Tennessee (8-8),33.4,1-4,2-2,3-1,3,32,5,2007
485,6,Chicago (15-4),31.3,0-2,3-1,0-1,1,15,6,2007
486,7,NY Jets (10-7),30.7,2-3,2-3,3-0,5,26,7,2007
487,8,Buffalo (7-9),30.7,0-6,3-2,3-0,5,28,8,2007
488,9,Jacksonville (8-8),29.1,2-3,1-1,3-3,1,22,9,2007
489,10,Green Bay (8-8),28.5,0-1,1-3,1-1,9,29,10,2007
490,11,Miami (6-10),27.3,2-2,1-6,1-2,9,32,11,2007
491,12,Pittsburgh (8-8),26.5,0-3,0-1,2-1,1,28,12,2007
492,13,Houston (6-10),26.5,1-4,2-2,1-1,13,32,13,2007
493,14,Kansas City (9-8),26.4,1-3,1-0,1-3,5,24,14,2007
494,15,Philadelphia (11-7),26.4,0-2,1-1,1-0,7,27,15,2007
495,16,Denver (9-7),24.4,2-3,0-0,2-1,2,19,16,2007
496,17,Cincinnati (8-8),23.7,1-4,0-0,2-2,2,25,17,2007
497,18,New Orleans (11-7),23.7,0-1,1-1,2-1,5,32,18,2007
498,19,Seattle (10-8),23.4,0-1,1-2,1-1,3,27,19,2007
499,20,LA Rams (8-8),22.6,0-1,1-1,1-1,10,31,20,2007
500,21,San Francisco (7-9),22.1,0-1,0-2,1-2,18,30,21,2007
501,22,Carolina (8-8),21.2,1-0,0-0,0-2,5,25,22,2007
502,23,Arizona (5-11),20.8,0-1,0-2,0-2,17,32,23,2007
503,24,NY Giants (8-9),20.4,0-2,0-2,2-2,3,24,24,2007
504,25,Dallas (9-8),20.2,2-0,0-1,1-2,6,25,25,2007
505,26,Minnesota (6-10),18.8,0-1,0-6,0-1,3,27,26,2007
506,27,Detroit (3-13),17.5,0-1,1-5,0-1,25,32,27,2007
507,28,Washington (5-11),16.4,0-2,1-0,1-2,7,28,28,2007
508,29,Atlanta (7-9),15.8,0-1,0-0,1-1,7,30,29,2007
509,30,Cleveland (4-12),14.2,0-3,1-0,1-4,14,30,30,2007
510,31,Tampa Bay (4-12),13.7,0-1,0-1,1-1,15,31,31,2007
511,32,Las Vegas (2-14),10.3,0-3,0-1,1-5,28,32,32,2007
512,1,Pittsburgh (15-5),43.5,3-1,1-1,4-2,1,23,1,2006
513,2,Denver (14-4),36.5,1-2,5-1,1-1,1,18,2,2006
514,3,Seattle (15-4),35.2,1-1,2-1,1-1,1,27,3,2006
515,4,Indianapolis (14-3),34.1,1-2,1-1,3-0,1,6,4,2006
516,5,Kansas City (10-6),31.9,1-1,4-1,1-1,4,18,5,2006
517,6,Carolina (13-6),31.8,0-1,1-1,4-2,4,22,6,2006
518,7,Washington (11-7),31.2,1-3,0-1,3-2,2,23,7,2006
519,8,New England (11-7),30.8,1-4,1-3,2-0,1,19,8,2006
520,9,LA Chargers (9-7),30.6,2-4,2-1,1-0,4,24,9,2006
521,10,Miami (9-7),29.3,1-1,3-1,0-1,8,30,10,2006
522,11,Jacksonville (12-5),28.9,2-3,0-1,1-0,3,17,11,2006
523,12,Minnesota (9-7),28.6,0-1,0-1,2-3,9,31,12,2006
524,13,NY Giants (11-6),28.4,2-1,1-3,0-1,3,27,13,2006
525,14,Cincinnati (11-6),27.7,1-4,0-0,2-1,1,17,14,2006
526,15,Chicago (11-6),27.6,0-1,1-2,2-2,6,32,15,2006
527,16,Tampa Bay (11-6),25.8,0-0,3-3,1-1,5,28,16,2006
528,17,Dallas (9-7),25.5,1-2,2-2,1-1,4,26,17,2006
529,18,Baltimore (6-10),25.2,1-3,0-0,1-4,8,30,18,2006
530,19,Cleveland (6-10),23.3,0-3,1-0,1-4,11,31,19,2006
531,20,Green Bay (4-12),20.9,1-1,0-1,0-6,18,32,20,2006
532,21,Atlanta (8-8),20.1,0-1,1-3,1-3,6,23,21,2006
533,22,Buffalo (5-11),19.9,1-1,1-5,1-1,3,29,22,2006
534,23,Philadelphia (6-10),18.7,1-2,1-2,0-2,5,23,23,2006
535,24,Arizona (5-11),18.3,0-3,0-2,0-2,20,32,24,2006
536,25,NY Jets (4-12),17.6,0-2,1-5,1-1,5,31,25,2006
537,26,LA Rams (6-10),17.6,0-3,0-1,1-2,15,31,26,2006
538,27,San Francisco (4-12),16.7,0-3,0-1,1-3,22,32,27,2006
539,28,Detroit (5-11),16.1,0-1,0-1,0-6,19,30,28,2006
540,29,Las Vegas (4-12),15.9,0-4,1-4,0-1,13,29,29,2006
541,30,Tennessee (4-12),14.7,0-4,0-1,0-3,21,31,30,2006
542,31,Houston (2-14),12.0,0-5,0-0,0-3,20,32,31,2006
543,32,New Orleans (3-13),11.1,0-0,1-3,0-5,1,32,32,2006
544,1,New England (17-2),48.0,7-1,3-0,3-1,1,5,1,2005
545,2,Pittsburgh (16-2),42.3,4-1,4-1,1-0,1,26,2,2005
546,3,Buffalo (9-7),37.1,1-4,1-1,3-0,3,31,3,2005
547,4,Indianapolis (13-5),33.8,0-2,3-1,0-1,2,16,4,2005
548,5,NY Jets (11-7),33.0,1-5,3-1,2-1,4,17,5,2005
549,6,Cincinnati (8-8),33.0,0-5,3-1,1-0,6,31,6,2005
550,7,LA Chargers (12-5),32.0,0-3,1-1,4-1,3,29,7,2005
551,8,Baltimore (9-7),31.8,3-3,1-2,1-1,4,26,8,2005
552,9,Philadelphia (15-4),31.4,0-2,1-1,2-1,1,11,9,2005
553,10,Denver (10-7),28.3,1-1,1-2,4-2,4,19,10,2005
554,11,Kansas City (7-9),27.3,1-1,2-3,1-2,8,31,11,2005
555,12,New Orleans (8-8),26.0,0-0,0-2,4-2,9,31,12,2005
556,13,Atlanta (12-6),24.9,0-0,2-1,5-2,5,17,13,2005
557,14,Miami (4-12),24.8,1-6,0-3,1-0,6,32,14,2005
558,15,LA Rams (9-9),24.6,1-2,1-0,0-5,8,31,15,2005
559,16,Carolina (7-9),24.2,0-0,0-3,3-3,4,31,16,2005
560,17,Jacksonville (9-7),22.8,2-2,1-1,1-0,5,18,17,2005
561,18,Cleveland (4-12),21.9,0-5,2-4,0-1,10,29,18,2005
562,19,Seattle (9-8),21.8,0-3,0-0,4-3,4,30,19,2005
563,20,Green Bay (10-7),21.7,0-1,0-1,2-0,2,23,20,2005
564,21,Houston (7-9),21.3,0-3,0-2,1-0,7,32,21,2005
565,22,Washington (6-10),20.3,0-1,0-4,0-0,15,28,22,2005
566,23,Minnesota (9-9),19.7,0-1,0-2,1-0,2,27,23,2005
567,24,Arizona (6-10),18.7,0-3,0-0,3-3,14,31,24,2005
568,25,Dallas (6-10),18.6,0-1,0-4,0-1,9,29,25,2005
569,26,NY Giants (6-10),18.0,0-1,0-4,0-1,3,32,26,2005
570,27,Las Vegas (5-11),18.0,1-2,1-3,1-4,14,31,27,2005
571,28,Tampa Bay (5-11),17.0,0-0,0-2,3-5,15,31,28,2005
572,29,Tennessee (5-11),15.5,0-2,1-2,1-1,2,29,29,2005
573,30,Detroit (6-10),14.6,0-1,0-1,1-0,2,30,30,2005
574,31,Chicago (5-11),11.4,0-1,0-1,0-0,6,31,31,2005
575,32,San Francisco (2-14),10.5,0-3,0-0,0-6,19,32,32,2005
576,1,New England (17-2),45.3,6-0,3-0,2-0,1,25,1,2004
577,2,Indianapolis (14-5),36.5,2-3,3-1,3-1,1,11,2,2004
578,3,Tennessee (13-5),36.4,1-4,2-0,4-0,1,12,3,2004
579,4,Carolina (14-6),35.9,2-3,3-0,3-2,1,19,4,2004
580,5,Philadelphia (13-5),33.2,1-2,4-0,2-1,2,28,5,2004
581,6,Miami (10-6),31.6,0-5,0-0,3-0,4,27,6,2004
582,7,Green Bay (11-7),31.2,0-2,1-1,2-1,3,29,7,2004
583,8,Denver (10-7),28.0,1-2,0-1,1-2,2,26,8,2004
584,9,LA Rams (12-5),27.2,0-1,1-0,3-1,2,23,9,2004
585,10,New Orleans (8-8),26.7,0-5,0-0,3-2,9,24,10,2004
586,11,Dallas (10-7),26.4,2-3,0-2,0-1,6,31,11,2004
587,12,Kansas City (13-4),26.1,0-1,2-1,1-0,1,18,12,2004
588,13,Baltimore (10-7),26.0,0-1,1-2,2-1,7,23,13,2004
589,14,Atlanta (5-11),25.7,1-4,0-3,2-0,6,32,14,2004
590,15,Jacksonville (5-11),25.3,1-5,1-1,0-2,13,31,15,2004
591,16,Seattle (10-7),25.3,0-0,2-3,0-1,5,23,16,2004
592,17,NY Jets (6-10),25.3,1-4,0-2,1-1,7,31,17,2004
593,18,Tampa Bay (7-9),24.0,1-4,1-2,2-2,1,22,18,2004
594,19,San Francisco (7-9),22.7,1-0,1-2,0-3,10,31,19,2004
595,20,Chicago (7-9),22.2,0-0,1-4,0-2,15,32,20,2004
596,21,Buffalo (6-10),21.9,1-4,0-2,1-2,1,25,21,2004
597,22,Minnesota (9-7),21.6,0-0,2-2,3-0,1,27,22,2004
598,23,Houston (5-11),21.5,1-5,1-1,2-2,12,28,23,2004
599,24,Cincinnati (8-8),20.4,0-0,0-2,3-1,10,31,24,2004
600,25,Detroit (5-11),19.7,0-1,2-2,0-3,23,32,25,2004
601,26,Pittsburgh (6-10),19.4,0-1,0-2,1-3,3,27,26,2004
602,27,Cleveland (5-11),17.1,0-2,0-2,0-4,8,31,27,2004
603,28,Washington (5-11),16.9,1-3,0-2,2-2,8,31,28,2004
604,29,LA Chargers (4-12),16.1,0-0,0-4,0-4,25,32,29,2004
605,30,Arizona (4-12),15.1,0-1,1-2,0-4,22,32,30,2004
606,31,Las Vegas (4-12),14.3,0-1,0-3,1-2,2,32,31,2004
607,32,NY Giants (4-12),11.5,0-4,1-2,0-3,4,32,32,2004
